,stdMinorAxisLength,sample,stdMajorAxisLength,majorAxisLength,averageArea,totalCount,stdArea,minorAxisLength
737,2.557299171,SAP383,2.642185465,36.3848754,889.9361702,101,120.3575178,31.75244504
738,2.283072311,SAP383,2.594648498,36.45805329,890.6222222,100,115.4587543,31.77632274
739,3.107123895,SAP384,4.185135072,43.61772388,1040.611111,92,151.5444461,31.22737824
740,3.363070739,SAP384,4.499154816,43.80028611,1045.152542,91,159.264923,31.36547851
741,3.060506571,SAP385,3.19047516,40.54091307,1115.333333,65,168.7073253,35.5580339
742,3.004313855,SAP385,3.34183993,40.42649599,1110.181818,65,170.4309075,35.45657482
743,4.531977456,SAP386,4.040621256,47.78408771,1631.655172,41,299.954626,43.67314768
744,4.554540183,SAP386,4.031829872,47.70817717,1626.275862,41,299.4646829,43.61607988
745,2.098292437,SAP387,2.739293005,49.9616444,1674.852941,52,137.5551509,43.23653165
746,2.102569791,SAP387,2.791528369,49.87251098,1666.3125,52,141.4859616,43.06732121
747,2.454706052,SAP388,2.686828205,41.23004868,1025.688889,49,119.236613,31.94854868
748,2.459826889,SAP388,2.693134605,41.23812029,1025.244444,49,119.9522415,31.92323151
749,3.912755607,SAP389,3.568842128,44.03777597,1211.933333,54,204.2151806,35.54282398
750,3.936110548,SAP389,3.66546794,43.83859531,1205.444444,54,204.4192376,35.50425675
751,3.093199471,SAP390,3.040704807,56.79479058,2141.607143,31,235.3787737,49.03288267
752,3.101764919,SAP390,2.997223616,56.73149039,2134.714286,31,236.6538849,48.94130676
753,3.724418605,SAP391,3.225487312,51.83938427,1760.47619,86,210.7945556,44.15576514
754,4.396982497,SAP391,3.487820773,51.50382557,1735.65,89,250.8594776,43.61560537
755,3.398119759,SAP392,2.195686696,52.98638436,1944.8,61,212.3969061,47.47459976
756,3.365979139,SAP392,2.218969572,53.02222272,1948.885714,59,211.506943,47.52647525
757,2.740506407,SAP394,3.174999279,48.57551931,1465.69697,58,163.9479749,39.4319514
758,2.41801031,SAP394,2.895201048,48.3927089,1474.609756,65,135.4803339,39.47260234
759,2.86034162,SAP395,2.276080978,50.72745504,1830.615385,56,178.448817,46.24712729
760,2.838051547,SAP395,2.277692419,50.76454763,1833.282051,57,176.6292581,46.28703636
761,3.283299436,SAP396,3.396837109,50.97016426,1757.242424,57,214.1864142,44.71647868
762,3.315721826,SAP396,3.314298306,51.15281927,1769.571429,56,214.8650454,44.8111087
763,3.066821287,SAP397,3.469286863,46.07686394,1335.931818,82,176.9498385,37.6854111
764,3.010236714,SAP397,3.223488797,45.88875741,1331.795455,80,174.7251842,37.58385464
765,2.590242747,SAP398,3.718171164,50.85531649,1696.617647,77,206.184243,43.16570806
766,2.596239587,SAP398,3.770512105,50.97508288,1703.941176,78,204.9616809,43.24835674
767,2.722905103,BTX623,2.891303234,47.77750325,1612.4,55,187.2379829,43.47003945
768,2.750525324,BTX623,2.854510289,47.84634802,1615.431818,55,187.7094464,43.48482788
