,sample,r,g,b,closest color
528,SAP273,130.3772945,79.82887234,70.24753687,dark brown
529,SAP274,133.1009055,82.65130654,63.77077347,dark brown
530,SAP274,133.4210694,83.21898014,64.45037807,dark brown
531,SAP276,166.2661839,133.6058242,114.244262,yellow
532,SAP276,165.6353876,132.727333,113.1600823,yellow
533,SAP277,152.1047247,91.42679346,83.13437181,light brown
534,SAP277,152.4085034,92.03191274,83.88229653,light brown
535,SAP278,185.143284,156.667149,140.8118374,white
536,SAP279,178.2184418,146.141095,132.035721,chalky white
537,SAP279,178.3519117,146.4291795,132.4091644,chalky white
538,SAP280,110.188695,62.26560223,58.89991145,dark brown
539,SAP280,109.437878,60.91233351,57.48292888,dark brown
540,SAP281,149.2176385,93.49136934,83.29197918,light brown
541,SAP281,148.7708218,92.93221554,82.56079583,light brown
542,SAP282,149.8922569,90.75711822,81.97770475,red
543,SAP282,150.2034123,91.39107366,82.71892021,red
544,SAP283,138.6089988,87.5150322,75.67943815,red
545,SAP283,138.9881949,88.01566988,76.31800788,red
546,SAP284,165.1397975,131.2747516,115.6464391,yellow
547,SAP284,164.8371242,130.9491199,115.1952229,yellow
548,SAP285,190.1668066,160.8368604,147.0613176,white
549,SAP285,185.3970764,157.0128098,141.1770951,white
550,SAP286,179.7559242,149.4233644,132.1025673,chalky white
551,SAP286,180.059428,149.7520655,132.5425364,chalky white
552,SAP287,170.6451019,136.0526989,119.5833892,cream
553,SAP287,170.4850925,135.7147038,119.3632612,cream
554,SAP288,166.1632213,129.5216878,108.9873468,yellow
555,SAP288,165.8007212,129.2517942,108.6826634,yellow
556,SAP289,171.0874249,138.0951558,119.4076232,cream
557,SAP289,171.3753773,138.5165732,119.9361338,cream
558,SAP290,187.3966243,157.8846302,139.0271984,white
559,SAP290,187.6237428,158.2272767,139.4652521,white
560,SAP291,151.3262784,97.11537774,82.0135707,light brown
561,SAP291,148.2663643,94.5926007,80.57570226,light brown
562,SAP292,129.8529522,76.26561731,69.6686483,dark brown
563,SAP292,129.3581991,75.5192577,68.54984965,dark brown
564,SAP293,168.7065001,141.808392,132.7128077,cream
565,SAP293,168.3997676,141.4457971,132.3173263,cream
566,SAP294,166.6403932,134.6527654,119.3636296,cream
567,SAP294,166.4551914,134.3312818,118.9409947,cream
568,SAP295,190.9241804,159.988637,140.9800507,white
569,SAP295,191.0442568,160.132559,141.1341709,white
570,SAP296,150.772789,94.77543056,79.6847444,light brown
571,SAP297,161.4024767,98.0226328,88.13667686,light brown
572,SAP297,160.499532,97.20264498,87.31781617,light brown
573,SAP298,158.1305321,99.66504035,82.26416196,light brown
574,SAP298,157.931039,99.69599638,82.55201982,light brown
575,SAP299,169.6709452,116.6941925,101.6044438,yellow
576,SAP299,169.3414073,116.2584409,101.1220986,yellow
577,SAP300,186.5399447,156.7816802,138.7854935,white
578,SAP300,186.6043547,156.7050815,138.5719548,white
579,SAP301,170.1664294,138.6819545,122.9807775,cream
580,SAP301,169.8180051,138.2104767,122.469575,cream
581,SAP302,173.0312748,142.0176158,125.3702845,cream
582,SAP302,173.3141304,142.4233728,125.8817955,cream
583,SAP303,147.4818183,88.99265587,72.92649385,red
584,SAP303,147.3474197,88.86251794,73.22015262,red
585,SAP304,172.2643879,145.4895679,132.9390298,chalky white
586,SAP304,172.4285497,145.5947116,132.9545152,chalky white
587,SAP305,165.3714103,124.5826211,101.6561114,yellow
588,SAP305,165.0606356,124.153436,101.1093636,yellow
589,SAP306,151.6924707,98.02856617,84.13148398,light brown
590,SAP306,152.061941,98.57037957,84.8460181,light brown
591,SAP307,155.7870923,112.6659831,86.39482859,light brown
592,SAP307,155.4194553,112.156141,85.69017466,light brown
593,SAP308,167.6476056,111.57085,96.9663139,yellow
594,SAP308,167.3502063,111.3537842,96.5921004,yellow
595,SAP309,171.5174286,142.0173051,126.336857,cream
596,SAP309,171.2365929,141.6837406,125.9099426,cream
597,SAP310,172.1557901,140.9889225,123.6259986,cream
598,SAP310,172.4558774,141.3672401,124.1890628,cream
599,SAP311,171.7893056,111.4230784,97.58021007,yellow
600,SAP311,172.22502,112.1139444,98.34257473,yellow
601,SAP312,179.144088,148.3865601,131.3255333,chalky white
602,SAP312,179.2898415,148.667641,131.6898679,chalky white
