,stdArea,totalCount,majorAxisLength,sample,averageArea,stdMinorAxisLength,minorAxisLength,stdMajorAxisLength
172,191.4950871,51,43.60304933,BAP110,1094.377778,3.632949239,33.30196638,4.530769531
173,344.9862376,23,55.30752651,BAP111,1846.363636,4.547666153,44.28956528,6.326366052
174,321.315825,19,53.25874637,BAP112,1717.875,4.281650983,43.36712024,8.360526346
175,254.6302875,20,53.59108575,BAP112,1803.5,4.193343461,45.44739968,5.579292869
176,182.7503272,22,52.66017447,BAP113,1742.388889,2.673978225,42.48142831,2.973162098
177,169.0561511,26,52.29989124,BAP113,1654.466667,2.682121494,40.6184059,2.646012715
178,139.0547454,20,48.40548998,BAP114,1533.666667,2.474717712,41.07853069,2.298635693
179,108.6032535,16,47.74098553,BAP114,1421.0,2.197600117,38.17997179,1.384996674
180,155.7949819,17,46.10132243,BAP115,1269.583333,2.437304583,35.97163837,3.603023236
181,190.2835179,20,53.12988168,BAP115,1336.157895,3.871946134,37.43193748,14.64476064
182,166.189771,18,51.53606303,BAP116,1407.6,3.749769472,38.21939444,8.035421716
183,195.0521439,13,50.45897299,BAP116,1382.454545,2.796690617,35.62092565,4.175731241
184,188.9583287,13,46.38458817,BAP117,915.5,2.342624723,33.88573019,9.50482574
185,65.56675987,12,68.41590361,BAP117,218.0,3.858934036,27.42477156,5.12516434
186,18.92722906,9,74.19013827,BAP118,178.4,9.189444547,34.55741503,22.93663016
187,118.2337609,8,53.25354252,BAP118,1259.666667,2.750787494,36.43834605,12.67680861
188,160.105569,23,39.71962577,BAP119,901.3888889,3.032597025,29.42934316,3.891556168
189,207.2935247,27,39.15442077,BAP119,875.4090909,3.554809779,29.53974531,5.297579966
190,132.0835573,18,41.30557346,BAP120,1033.454545,2.72916158,33.31905923,4.934996653
